Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
1,11.5,20.00%,0.007,0.0644
2,0.24,5.10%,0.0033,0.000751608
3,0.04,24.86%,0.0022,0.0000661232
4,13.81,2.29%,0.0066,0.0890587566
5,19.84,3.47%,0.002,0.038303104
6,20.61,20.84%,0.0002,0.0032629752
7,24.9,34.91%,0.0089,0.144245949
8,18.76,36.44%,0.0059,0.0703507504
9,10.23,39.59%,0.0026,0.0160678518
10,19.55,25.11%,0.0008,0.011712796
11,1.14,33.29%,0,0
12,6.4,37.34%,0.0034,0.013634816
13,21.45,37.22%,0.0072,0.096957432
14,8.17,12.91%,0.005,0.035576265
15,15.73,14.68%,0.0056,0.0751566816
16,8.73,37.14%,0.0059,0.0323773002
17,24.02,39.85%,0.0029,0.041899287
18,11.92,26.54%,0.0064,0.0560411648
19,15.78,16.66%,0.0041,0.0539193132
20,0.04,10.34%,0.0043,0.0001542152
21,24.73,15.51%,0.0046,0.0961141342
22,7.49,16.67%,0.0004,0.0024965668
23,20.15,9.45%,0.0041,0.0748078825
24,2.92,26.40%,0.0041,0.008811392
25,0.3,32.34%,0.0039,0.000791622
26,1.95,12.78%,0.0016,0.002721264
27,10.57,28.81%,0.0063,0.0474061329
28,19.41,30.77%,0.0099,0.1330316757
29,16.09,22.67%,0.0022,0.0273732734
30,5.65,32.08%,0.0067,0.025711116
31,1.13,8.87%,0.0068,0.0070024292
32,17.07,27.81%,0.0089,0.1096732137
33,2.93,3.48%,0.0041,0.0115949476
34,21.87,30.66%,0.0045,0.068240961
35,18.92,31.15%,0.0007,0.009118494
36,22.8,23.28%,0.0048,0.083962368
37,10.8,19.95%,0.0042,0.03631068
38,24.74,13.13%,0.0037,0.0795190606
39,6.76,15.65%,0.0074,0.042195244
40,6.51,16.35%,0.0004,0.002178246
41,24.33,33.94%,0.0036,0.0578606328
42,21.01,19.86%,0.0078,0.1313318292
43,13.57,17.00%,0.0079,0.08897849
44,8.97,37.63%,0.0023,0.0128675547
45,3.15,16.53%,0.003,0.007887915
46,13.56,22.41%,0.0053,0.0557623812
47,10.71,22.36%,0.0094,0.0781632936
48,22.29,35.08%,0.0053,0.0766945404
49,4.64,32.95%,0.0034,0.010577808
50,17.47,4.95%,0.0011,0.0182657585
51,2.72,33.41%,0.0049,0.0088751152
52,16.88,25.82%,0.0068,0.0851467712
53,14.49,15.06%,0.0026,0.0320002956
54,24.87,24.81%,0.0092,0.1720377276
55,0.07,38.55%,0.0053,0.0002279795
56,10.16,0.63%,0.0096,0.0969215232
57,21.21,16.14%,0.0082,0.1458509892
58,18.04,31.02%,0.0095,0.118217924
59,2.16,26.35%,0.0046,0.007317864
60,2.16,13.67%,0.0065,0.012120732
61,8.76,30.03%,0.0093,0.0570031596
62,14.57,28.67%,0.005,0.051963905
63,14.9,10.44%,0.0076,0.101417744
64,4.56,37.78%,0.0075,0.02127924
65,2.28,21.66%,0.0004,0.0007144608
66,13.69,26.56%,0.0061,0.0613290096
67,20.74,5.91%,0.0061,0.1190370226
68,7.14,15.40%,0.0032,0.019329408
69,22.9,26.81%,0.0071,0.118999621
70,20.82,1.78%,0.005,0.10224702
71,14.48,14.52%,0.0015,0.018566256
72,6.49,38.49%,0.0082,0.0327343918
73,9.03,36.63%,0.0088,0.0503563368
74,4.75,0.27%,0.01,0.04737175
75,4.02,33.34%,0.008,0.021437856
76,23.17,35.19%,0.0048,0.0720790896
77,17.36,20.99%,0.0021,0.0288038856
78,6.49,12.11%,0.0075,0.0427804575
79,12.87,2.07%,0.0047,0.0592368777
80,1.79,22.74%,0.0091,0.0125848814
81,16.23,17.00%,0.0074,0.09968466
82,15.42,22.36%,0.0097,0.1161292536
83,22.33,30.80%,0.0079,0.122073644
84,16.54,34.78%,0.0007,0.0075511716
85,1.32,0.60%,0.0033,0.004329864
86,1.45,37.05%,0.0066,0.006024315
87,4.14,2.31%,0.0019,0.0076842954
88,13.79,27.93%,0.0017,0.0168953701
89,19.6,16.33%,0.0036,0.059037552
90,3.09,7.97%,0.0076,0.0216123252
91,24.3,20.84%,0.0077,0.148116276
92,6.11,33.57%,0.0043,0.0174531539
93,3.7,33.84%,0.0072,0.017625024
94,6.22,34.44%,0.0095,0.038739404
95,13.63,7.72%,0.0074,0.0930754536
96,12.63,30.63%,0.0051,0.0446832981
97,3.25,16.20%,0.0029,0.00789815
98,21.77,22.74%,0.0021,0.0353209542
99,20.72,19.54%,0.0091,0.1517089392
100,15.85,35.67%,0.0025,0.0254907625
101,10.62,28.65%,0.0006,0.004546422
102,23.62,13.88%,0.0035,0.071195404
103,15.18,9.39%,0.0025,0.034386495
104,3.17,22.62%,0.0097,0.0237935762
105,18.99,28.53%,0.0067,0.0909334251
106,3.72,16.81%,0.0087,0.0269236116
107,23.07,11.95%,0.0059,0.1198474965
108,19.76,39.22%,0.005,0.06005064
109,22.17,38.07%,0.0034,0.0466815954
110,22.09,2.08%,0.0065,0.140598432
111,2.04,36.63%,0.0027,0.0034904196
112,9.04,0.29%,0.0005,0.004506892
113,18.03,17.65%,0.0074,0.109873017
114,19.89,38.91%,0.0025,0.0303770025
115,14.7,7.55%,0.003,0.04077045
116,21.6,30.81%,0.0085,0.12703284
117,8.79,24.57%,0.003,0.019890891
118,17.12,3.87%,0.0085,0.139888376
119,11.24,20.44%,0.01,0.08942544
120,24.29,19.87%,0.0053,0.1031569581
121,2.53,2.64%,0.0067,0.0165034936
122,9.78,10.83%,0.0069,0.0601736994
123,9.03,25.08%,0.0014,0.0094713864
124,21.77,0.95%,0.0067,0.1444733395
125,17.23,9.27%,0.0021,0.0328288359
126,21.67,5.05%,0.0083,0.1707780195
